primary_hgnc_id	secondary_hgnc_id	primary_symbol	secondary_symbol
HGNC:11762	NA	TFR2	HFE3
HGNC:11762	NA	TFR2	TFRC2
HGNC:11763	NA	TFRC	CD71
HGNC:11763	NA	TFRC	TFR1
HGNC:11763	NA	TFRC	p90
HGNC:11764	NA	TG	TGN
HGNC:11764	NA	TG	AITD3
HGNC:20324	NA	TGDS	TDPGD
HGNC:20324	NA	TGDS	SDR2E1
HGNC:11766	NA	TGFB1	CED
HGNC:11766	NA	TGFB1	TGFbeta
HGNC:11767	NA	TGFB1I1	Hic-5
HGNC:11767	NA	TGFB1I1	TSC-5
HGNC:11767	NA	TGFB1I1	ARA55
HGNC:11767	NA	TGFB1I1	HIC-5
HGNC:50628	NA	TGFB2-AS1	NR_046268
HGNC:50629	NA	TGFB2-OT1	FLJ11812
HGNC:53144	NA	TGFB3-AS1	ENST00000553732
